,id,sentence,split,normalized,check
10,02c235f83160,বরিশাল সিটি কর্পোরেশনের উত্তরাংশে বিমানবন্দর থানার অবস্থান।,valid,বরিশাল সিটি কর্পোরেশনের উত্তরাংশে বিমানবন্দর থানার অবস্থান।,True
11,00f524b1c8ef,ওদের মানসিক অবস্থার কথা বিবেচনা করে ছেড়ে দেওয়ার প্রক্রিয়া দ্রুত করা প্রয়োজন।,train,ওদের মানসিক অবস্থার কথা বিবেচনা করে ছেড়ে দেওয়ার প্রক্রিয়া দ্রুত করা প্রয়োজন।,True
12,00f7726357e1,এই পাহাড়ের সাতটি চূড়া রয়েছে।,valid,এই পাহাড়ের সাতটি চূড়া রয়েছে।,True
13,03af957ab8fd,ব্যবহার করে দেখো।,train,ব্যবহার করে দেখো।,True
14,07242ac17767,"লেখাটি পড়তে গিয়ে মনে হয়েছে, সত্যিই তাঁর জীবন যেন অনবদ্য একটি সিনেমা।",train,"লেখাটি পড়তে গিয়ে মনে হয়েছে, সত্যিই তাঁর জীবন যেন অনবদ্য একটি সিনেমা।",True
15,0c24b57da1e7,তাই এখন কিছু বলাও সমীচীন নয়।,valid,তাই এখন কিছু বলাও সমীচীন নয়।,True
16,05ae9247abe8,কয়েকটি ব্যবহারিক ফাইনাল পরীক্ষার পরীক্ষক থাকা সত্ত্বেও অনেকেই ছুটির আবেদন করছেন।,train,কয়েকটি ব্যবহারিক ফাইনাল পরীক্ষার পরীক্ষক থাকা সত্ত্বেও অনেকেই ছুটির আবেদন করছেন।,True
17,05151789bb68,এ গাইডলাইন সরকারি বেসরকারি সব অফিসে প্রযোজ্য হবে।,train,এ গাইডলাইন সরকারি বেসরকারি সব অফিসে প্রযোজ্য হবে।,True
18,03a35d269ffd,বল হাতে বেশ সফলতা পেয়েছিলেন এখানে।,valid,বল হাতে বেশ সফলতা পেয়েছিলেন এখানে।,True
19,0791bd2a352d,গোরাকে আবার তাহার দলের লোকের মাঝখানে তাহার পূর্বাভ্যস্ত কাজের মধ্যে আসিয়া পড়িতে হইল।,train,গোরাকে আবার তাহার দলের লোকের মাঝখানে তাহার পূর্বাভ্যস্ত কাজের মধ্যে আসিয়া পড়িতে হইল।,True
20,066b478ea591,তাকে কিছুক্ষন নাড়াচাড়া করো।,train,তাকে কিছুক্ষন নাড়াচাড়া করো।,True
21,004b0ba117ee,কিন্তু তুই একটা পাপী।,train,কিন্তু তুই একটা পাপী।,True
22,03534b418886,এটা বিশ্বাসের ব্যাপার না।,train,এটা বিশ্বাসের ব্যাপার না।,True
23,08b49a9c709b,"রঘুপতি তীব্র বাক্যে ও তীক্ষ্ণ কটাক্ষে প্রমাণ করিয়া দিলেন যে, নক্ষত্ররায় ভালো নাই।",train,"রঘুপতি তীব্র বাক্যে ও তীক্ষ্ণ কটাক্ষে প্রমাণ করিয়া দিলেন যে, নক্ষত্ররায় ভালো নাই।",True
24,02b397c6312f,একমাত্র অস্ট্রেলীয় হিসেবে রিকি পন্টিং দশ সহস্রাধিক রান করেছেন।,valid,একমাত্র অস্ট্রেলীয় হিসেবে রিকি পন্টিং দশ সহস্রাধিক রান করেছেন।,True
25,0322f7fbac51,চারটি ম্যাচে আঠারো উইকেট নিয়েছিলেন।,valid,চারটি ম্যাচে আঠারো উইকেট নিয়েছিলেন।,True
26,06868f07cf42,"তবে, আমি অবশ্য মনে করি, সে মিথ্যাবাদী।",train,"তবে, আমি অবশ্য মনে করি, সে মিথ্যাবাদী।",True
27,09e1cd73e79f,এগুলো তো সবখানে ছড়িয়ে আছে!,train,এগুলো তো সবখানে ছড়িয়ে আছে!,True
28,009dca128c5b,"কারো কারো মতে, কাকের মত ফেরেশতাগণ তাকে আচ্ছাদিত করে রেখেছে।",train,"কারো কারো মতে, কাকের মত ফেরেশতাগণ তাকে আচ্ছাদিত করে রেখেছে।",True
29,01c230de7240,সে এন্টিডিপ্রেসেন্টসের বড়ি নিত কেন?,train,সে এন্টিডিপ্রেসেন্টসের বড়ি নিত কেন?,True
30,065c24cf696a,বাপের বড় ঠিকানা থাকত না।,train,বাপের বড় ঠিকানা থাকত না।,True
31,07afca5fde9d,"আমার ধারণা, মাতৃপ্রেমের পরেই মানবসন্তানের নির্মোহ ভালোবাসা কেবল প্রকৃতির প্রতিই থাকে।",train,"আমার ধারণা, মাতৃপ্রেমের পরেই মানবসন্তানের নির্মোহ ভালোবাসা কেবল প্রকৃতির প্রতিই থাকে।",True
32,06d6e96e30c2,এবং ওদের টোপটা গিলতে দাও।,valid,এবং ওদের টোপটা গিলতে দাও।,True
33,07608df5e0c3,তবে তা থেকে বাংলাদেশের জামায়াতে ইসলামীকে আরও ভালো করে চেনা যাবে।,train,তবে তা থেকে বাংলাদেশের জামায়াতে ইসলামীকে আরও ভালো করে চেনা যাবে।,True
34,0246a5340099,তাই শুধু বৃক্ষরোপণের মাধ্যমেই আমাদের দায়িত্ব শেষ হয়ে গেলে চলবে না।,valid,তাই শুধু বৃক্ষরোপণের মাধ্যমেই আমাদের দায়িত্ব শেষ হয়ে গেলে চলবে না।,True
35,026ffe1ea4dd,"লেফট ব্যাক, রাইট ব্যাক, সেন্ট্রাল মিডফিল্ড পজিশনে কোনো বিশেষজ্ঞ খেলোয়াড় ছিল না।",train,"লেফট ব্যাক, রাইট ব্যাক, সেন্ট্রাল মিডফিল্ড পজিশনে কোনো বিশেষজ্ঞ খেলোয়াড় ছিল না।",True
36,00e3c48f4d72,সামরিক ভূমি ও ক্যান্টনমেন্ট অধিদপ্তর বাংলাদেশ সরকারের প্রতিরক্ষা মন্ত্রণালয়ের আওতাধীন একটি অধিদপ্তর।,valid,সামরিক ভূমি ও ক্যান্টনমেন্ট অধিদপ্তর বাংলাদেশ সরকারের প্রতিরক্ষা মন্ত্রণালয়ের আওতাধীন একটি অধিদপ্তর।,True
37,09798bb8dcf4,"জাকির হোসেনের বিরুদ্ধে অভিযোগ, তিনি নিজের বয়স কমিয়ে দ্বিতীয়বার ভোটার হন।",train,"জাকির হোসেনের বিরুদ্ধে অভিযোগ, তিনি নিজের বয়স কমিয়ে দ্বিতীয়বার ভোটার হন।",True
38,0521f2488dbb,ঘূর্ণিঝড় রোয়ানু ধেয়ে আসছে—এমন আগাম খবরের ব্যাপক প্রচার সত্ত্বেও প্রাণহানি এড়ানো যায়নি।,train,ঘূর্ণিঝড় রোয়ানু ধেয়ে আসছে - এমন আগাম খবরের ব্যাপক প্রচার সত্ত্বেও প্রাণহানি এড়ানো যায়নি।,True
39,083d8fa6ea75,জার্মান-সুইস প্রতিষ্ঠান ডিজিটালস্টর্ম এবং মাইক্রোসফট যৌথভাবে মানুষের চেহারার অভিব্যক্তি বোঝার প্রযুক্তি তৈরি করেছে।,train,জার্মান-সুইস প্রতিষ্ঠান ডিজিটালস্টর্ম এবং মাইক্রোসফট যৌথভাবে মানুষের চেহারার অভিব্যক্তি বোঝার প্রযুক্তি তৈরি করেছে।,True
40,0be21ee04d47,"পোন্নি, তুই এখানেই থাক।",train,"পোন্নি, তুই এখানেই থাক।",True
41,04b204359bf5,কিন্তু এই চলচ্চিত্রে অংশগ্রহণ তার পরিবার মেনে নেয়নি।,valid,কিন্তু এই চলচ্চিত্রে অংশগ্রহণ তার পরিবার মেনে নেয়নি।,True
42,020c37a5af61,"পরে পরীক্ষায় অংশগ্রহণ করে এবং সুপারিশে, পুলিশে একটা পদ পেয়েছি।",train,"পরে পরীক্ষায় অংশগ্রহণ করে এবং সুপারিশে, পুলিশে একটা পদ পেয়েছি।",True
43,00d1ba233e81,তাদের প্রথম আর প্রধান নীতি হলো মিশনের কোনো তথ্য প্রকাশ না করা।,train,তাদের প্রথম আর প্রধান নীতি হলো মিশনের কোনো তথ্য প্রকাশ না করা।,True
44,01dca9f8f18b,"এখন, আপনি তৈরি করছেন-- আপনি এটি আরও খারাপ করছেন।",train,"এখন, আপনি তৈরি করছেন-- আপনি এটি আরও খারাপ করছেন।",True
45,011c185e776a,"তিনি ফুটবল, বাস্কেটবল দিয়ে বিভিন্ন ধরনের কসরত দেখানোর পাশাপাশি আরো বেশ কয়েকটি বিষয়ে পারদর্শী।",valid,"তিনি ফুটবল, বাস্কেটবল দিয়ে বিভিন্ন ধরনের কসরত দেখানোর পাশাপাশি আরো বেশ কয়েকটি বিষয়ে পারদর্শী।",True
46,0a3889ce8d28,শিক্ষার্থী ভিসায় যুক্তরাষ্ট্রে যাওয়ার পর গোয়েন্দাদের পাতা ফাঁদে আটকা পড়েন নাফিস।,train,শিক্ষার্থী ভিসায় যুক্তরাষ্ট্রে যাওয়ার পর গোয়েন্দাদের পাতা ফাঁদে আটকা পড়েন নাফিস।,True
47,0126e13702d3,একই বছর তিনি বর্ষসেরা ব্রিটিশ শিল্পী হিসেবে বাফটা ব্রিটানিয়া পুরস্কার অর্জন করেন।,valid,একই বছর তিনি বর্ষসেরা ব্রিটিশ শিল্পী হিসেবে বাফটা ব্রিটানিয়া পুরস্কার অর্জন করেন।,True
48,061eb68db371,"আমাকে একটা রাস্তা বল, ড্যানি।",train,"আমাকে একটা রাস্তা বল, ড্যানি।",True
49,01db8bd45f7a,অবসর মেলে যখন তখন তিনি পুরোদস্তুর অন্য রকম জীবন যাপন করেন।,train,অবসর মেলে যখন তখন তিনি পুরোদস্তুর অন্য রকম জীবন যাপন করেন।,True
50,026be7a6cea5,কিন্তু বদলাবেই বা কেন।,valid,কিন্তু বদলাবেই বা কেন।,True
51,05e55ebbef6b,"আসলেই, র ছেড়ে দিলে কেন?",train,"আসলেই, র ছেড়ে দিলে কেন?",True
52,087309300bfc,কিন্তু তুমি আমার পিছে লেগে থাকো?,train,কিন্তু তুমি আমার পিছে লেগে থাকো?,True
53,0407b9ce700e,লাইট আমার এখানে মারুন।,train,লাইট আমার এখানে মারুন।,True
54,04d76fa094d3,"ঐতিহাসিকভাবে, এটি হংকং অঞ্চলের সম্প্রসারণের সম্মেলনে বর্ণিত রয়েছে।",valid,"ঐতিহাসিকভাবে, এটি হংকং অঞ্চলের সম্প্রসারণের সম্মেলনে বর্ণিত রয়েছে।",True
55,0bcf1a297f22,দুই দিনের সাপ্তাহিক ছুটির আগের দিন পয়লা বৈশাখ মিলিয়ে টানা তিন দিনের ছুটি।,train,দুই দিনের সাপ্তাহিক ছুটির আগের দিন পয়লা বৈশাখ মিলিয়ে টানা তিন দিনের ছুটি।,True
56,05cb63f79498,"যদি কেহ করে, তবে তাহার জিহ্বা খসিয়া যাক।",train,"যদি কেহ করে, তবে তাহার জিহ্বা খসিয়া যাক।",True
57,05f4cf0320d8,"অন্যদিকে, ইরাকে কাগজে-কলমে মার্কিন অবরোধ শেষ হলেও দেশটিতে শান্তি ফিরে আসেনি।",train,"অন্যদিকে, ইরাকে কাগজে-কলমে মার্কিন অবরোধ শেষ হলেও দেশটিতে শান্তি ফিরে আসেনি।",True
58,0ab0394cb4fe,গতকাল শনিবার দিবাগত রাত তিনটার দিকে এ ঘটনা ঘটে।,train,গতকাল শনিবার দিবাগত রাত তিনটার দিকে এ ঘটনা ঘটে।,True
59,04a23ba32ca9,তিনি পরবর্তীকালে মঞ্চনাটক রচনা ও পরিচালনায় মনোযোগ দেন।,train,তিনি পরবর্তীকালে মঞ্চনাটক রচনা ও পরিচালনায় মনোযোগ দেন।,True
60,04a0156fa715,কেননা এর মধ্যেই নিহিত ছিল বিরাট তাৎপর্য এবং এটা ছিল পূর্ব নির্ধারিত।,train,কেননা এর মধ্যেই নিহিত ছিল বিরাট তাৎপর্য এবং এটা ছিল পূর্ব নির্ধারিত।,True
61,094fa779ba1a,তিনি একজন ডান হাতি ব্যাটসম্যান এবং ডান-হাতি মিডিয়াম ফাস্ট বোলার।,valid,তিনি একজন ডান হাতি ব্যাটসম্যান এবং ডান-হাতি মিডিয়াম ফাস্ট বোলার।,True
62,00fd92646944,আহারান্তে মহেন্দ্র শয়নগৃহে আসিয়া বসিল।,train,আহারান্তে মহেন্দ্র শয়নগৃহে আসিয়া বসিল।,True
63,082b0da8147c,"খুঁজবো কিভাবে, সবাইকে?",train,"খুঁজবো কিভাবে, সবাইকে?",True
64,073f41084edf,ফরোয়ার্ড লাইনের বাঁ প্রান্তে নেইমার ও ডান প্রান্তে চেলসির উইলিয়ান তো থাকছেনই।,train,ফরোয়ার্ড লাইনের বাঁ প্রান্তে নেইমার ও ডান প্রান্তে চেলসির উইলিয়ান তো থাকছেনই।,True
65,09b312f1c04d,প্রতিযোগিতায় বিজয়ীরা পূর্বনির্ধারিত প্রাইজ মানির সঙ্গে কলকাতায় রবীন্দ্রভারতীতে চিত্রকর্মশালায় অংশগ্রহণের সুযোগ পাবেন।,train,প্রতিযোগিতায় বিজয়ীরা পূর্বনির্ধারিত প্রাইজ মানির সঙ্গে কলকাতায় রবীন্দ্রভারতীতে চিত্রকর্মশালায় অংশগ্রহণের সুযোগ পাবেন।,True
66,08e6869ca118,"তবে শুরুটা যেভাবে হয়েছে, শেষ দিকে ছন্দটা ঠিক ধরে রাখতে পারেননি।",train,"তবে শুরুটা যেভাবে হয়েছে, শেষ দিকে ছন্দটা ঠিক ধরে রাখতে পারেননি।",True
67,0331a20f570c,তিনি প্রার্থনারত ব্যক্তিতে আক্রমণে উদ্যত হয়েছেন।,train,তিনি প্রার্থনারত ব্যক্তিতে আক্রমণে উদ্যত হয়েছেন।,True
68,04e7ea17d7e5,বাংলাদেশের পল্লী অঞ্চলের সর্বনিম্ন প্রশাসনিক একক হচ্ছে ইউনিয়ন।,valid,বাংলাদেশের পল্লী অঞ্চলের সর্বনিম্ন প্রশাসনিক একক হচ্ছে ইউনিয়ন।,True
69,03fa9e5b79bc,"অ্যান্টনি তার স্ত্রীকে একা রেখে যাবার জন্য ক্ষমা চাইবে, যা সে মহামায়া ও রোহিত চলে যাবার পর করে।",valid,"অ্যান্টনি তার স্ত্রীকে একা রেখে যাবার জন্য ক্ষমা চাইবে, যা সে মহামায়া ও রোহিত চলে যাবার পর করে।",True
70,0a7593d6b1d1,কোচিং করে বাসায় ফেরার সময় বঙ্গবাজার এলাকায় দুর্বৃত্তদের ছোড়া বোমায় আহত হয়।,train,কোচিং করে বাসায় ফেরার সময় বঙ্গবাজার এলাকায় দুর্বৃত্তদের ছোড়া বোমায় আহত হয়।,True
71,0409deb54598,আব্দুল মালেক ময়মনসিংহ জেলার মুক্তিযুদ্ধের সংগঠক ছিলেন।,valid,আব্দুল মালেক ময়মনসিংহ জেলার মুক্তিযুদ্ধের সংগঠক ছিলেন।,True
72,0553dd1ad4ed,মাঝখানে কী হইয়াছিল মতির?,train,মাঝখানে কী হইয়াছিল মতির?,True
73,0343b2ceba5e,এই আঠালো জিনিসটা কি?,train,এই আঠালো জিনিসটা কি?,True
74,06ea5b992421,"কারণ, একমাত্র কাপুরুষেরাই নিজেদের পরিচয়কে ঢেকে রাখে।",train,"কারণ, একমাত্র কাপুরুষেরাই নিজেদের পরিচয়কে ঢেকে রাখে।",True
75,0c4323dfdc63,বিনামূল্যে বিতরন করা এই পত্রিকাটির যাবতীয় আয় আসতো বিজ্ঞাপন থেকে।,valid,বিনামূল্যে বিতরন করা এই পত্রিকাটির যাবতীয় আয় আসতো বিজ্ঞাপন থেকে।,True
76,065739869839,ঘুরাঘুরির জন্য ষাড়টা ভুল জায়গা বাছাই করেছিল।,train,ঘুরাঘুরির জন্য ষাড়টা ভুল জায়গা বাছাই করেছিল।,True
77,0ac8feb6bc2d,তিনি আছেন বলিয়াই আমাদের মুক্তি সম্ভব।,train,তিনি আছেন বলিয়াই আমাদের মুক্তি সম্ভব।,True
78,03cc2a474245,"প্রথমবারের মতো কারো জীবন বাঁচিয়েছি, মা।",train,"প্রথমবারের মতো কারো জীবন বাঁচিয়েছি, মা।",True
79,04015f3a9247,যেন আক্ষরিক অর্থেই বিশাল এক বরফের গোলক।,train,যেন আক্ষরিক অর্থেই বিশাল এক বরফের গোলক।,True
80,07e08b822fbb,তুমি কী বলো?,train,তুমি কী বলো?,True
81,01eb44a440bb,এই খাতা থেকে আমি যেটুকু পরিচয় প্রত্যাশা করি তার প্রতি আপনারা দৃষ্টি দেন কেন?,train,এই খাতা থেকে আমি যেটুকু পরিচয় প্রত্যাশা করি তার প্রতি আপনারা দৃষ্টি দেন কেন?,True
82,04d18a06bc36,আর একটু সময় পেলে।,train,আর একটু সময় পেলে।,True
83,06629ed68f91,সে নিজেও থেমে যায় এবং মেয়েটিও পথ আগলে দাঁড়ায়।,train,সে নিজেও থেমে যায় এবং মেয়েটিও পথ আগলে দাঁড়ায়।,True
84,0cab80397270,এই বিভাগের দায়িত্বে রয়েছে মূলত ইন্দো-তিব্বত সীমান্ত।,valid,এই বিভাগের দায়িত্বে রয়েছে মূলত ইন্দো-তিব্বত সীমান্ত।,True
85,0b299d80562a,"পরীক্ষার খাতায় এমন কিছু দেখান, যেটা আপনার খাতাকে আলাদা করে তোলে।",train,"পরীক্ষার খাতায় এমন কিছু দেখান, যেটা আপনার খাতাকে আলাদা করে তোলে।",True
86,030ca68fa76a,ওই ব্যক্তি রাজউকের কর্মী না হলেও নিজেকে রাজউকের কর্মী হিসেবে পরিচয় দিতেন।,train,ওই ব্যক্তি রাজউকের কর্মী না হলেও নিজেকে রাজউকের কর্মী হিসেবে পরিচয় দিতেন।,True
87,0a971622e850,"আমাকে গুলি করিস, শালা?",train,"আমাকে গুলি করিস, শালা?",True
88,0c4d5e22c7d0,সৈয়দপুর সার্কেলের জ্যেষ্ঠ সহকারী পুলিশ সুপার সাজেদুর রহমান ঘটনাস্থল পরিদর্শন করেছেন।,train,সৈয়দপুর সার্কেলের জ্যেষ্ঠ সহকারী পুলিশ সুপার সাজেদুর রহমান ঘটনাস্থল পরিদর্শন করেছেন।,True
89,0652012249c8,এটা কিসের অধিকার?,train,এটা কিসের অধিকার?,True
90,0b03aa715743,"পরে অবশ্য মাঠে নামতে চেয়েও পারেননি, তার আগেই কাজটা সেরে ফেলেছিলেন ফ্লেচাররা।",train,"পরে অবশ্য মাঠে নামতে চেয়েও পারেননি, তার আগেই কাজটা সেরে ফেলেছিলেন ফ্লেচাররা।",True
91,0bccb7b9ebac,"আসলে ভারতীয় সংবাদমাধ্যমের কাছে গান্ধী পরিবারের সবচেয়ে কাঙ্ক্ষিত ছিলেন প্রিয়াঙ্কা, এখনো আছেন।",train,"আসলে ভারতীয় সংবাদমাধ্যমের কাছে গান্ধী পরিবারের সবচেয়ে কাঙ্ক্ষিত ছিলেন প্রিয়াঙ্কা, এখনো আছেন।",True
92,078fb1d22053,পাইকারি ব্যবসায়ীরা এখান থেকে সবজি কিনে দেশের বিভিন্ন স্থানে সরবরাহ করে থাকেন।,train,পাইকারি ব্যবসায়ীরা এখান থেকে সবজি কিনে দেশের বিভিন্ন স্থানে সরবরাহ করে থাকেন।,True
93,0ab0ff094605,ঐ পরিবারে ছয়জন পুরুষ এবং ঐ ছয়জনের একটি স্ত্রী ছিল।,valid,ঐ পরিবারে ছয়জন পুরুষ এবং ঐ ছয়জনের একটি স্ত্রী ছিল।,True
94,03eb1aa1e4b4,"পেঁয়াজ, আলু সব শেষ।",train,"পেঁয়াজ, আলু সব শেষ।",True
95,08df824a6659,পরিবার আর সমাজ তাদের বিচ্ছিন্ন করে দিয়েছে।,train,পরিবার আর সমাজ তাদের বিচ্ছিন্ন করে দিয়েছে।,True
96,030d8d08193f,এরপরে উমর মুহাম্মাদ এর নিকট গিয়ে ইসলাম গ্রহণ করে।,valid,এরপরে উমর মুহাম্মাদ এর নিকট গিয়ে ইসলাম গ্রহণ করে।,True
97,093b498991f5,"জনসংখ্যা মূলত আর্মেনিয়ান জাতিগত, এবং প্রাথমিক কথ্য ভাষা হ'ল আর্মেনিয়ান ভাষা।",valid,"জনসংখ্যা মূলত আর্মেনিয়ান জাতিগত, এবং প্রাথমিক কথ্য ভাষা হ'ল আর্মেনিয়ান ভাষা।",True
98,09682c9f5178,সেল্টিকের হয়ে প্রতিযোগিতামূলক ফুটবলে প্রথম ম্যাচেই রজার্সের শুরু হলো দুঃস্বপ্নের মতোই।,train,সেল্টিকের হয়ে প্রতিযোগিতামূলক ফুটবলে প্রথম ম্যাচেই রজার্সের শুরু হলো দুঃস্বপ্নের মতোই।,True
99,07ea05253f61,এখন ঘুমিয়ে পড়ো।,train,এখন ঘুমিয়ে পড়ো।,True
100,06735a820776,তিনি ভারতের সংগীত রাষ্ট্রদূত হিসাবে বিবেচিত।,valid,তিনি ভারতের সংগীত রাষ্ট্রদূত হিসাবে বিবেচিত।,True
101,04ba3512baeb,সপ্তাহ খানেক আগে সামাজিক যোগাযোগমাধ্যমে প্রকাশিত ভিডিওটি নিয়ে ব্যাপক সমালোচনা হচ্ছে।,train,সপ্তাহ খানেক আগে সামাজিক যোগাযোগমাধ্যমে প্রকাশিত ভিডিওটি নিয়ে ব্যাপক সমালোচনা হচ্ছে।,True
102,093474a2cc9a,তিনি প্রেসিডেন্ট গার্ড রেজিমেন্টের ডেপুটি কমান্ড্যাট হিসেবে রাষ্ট্রপতির নিরাপত্তার দায়িত্বেও নিয়োজিত ছিলেন।,train,তিনি প্রেসিডেন্ট গার্ড রেজিমেন্টের ডেপুটি কমান্ড্যাট হিসেবে রাষ্ট্রপতির নিরাপত্তার দায়িত্বেও নিয়োজিত ছিলেন।,True
103,0330be356cc2,আমাকে দরখাস্তটা দাও দেখি।,train,আমাকে দরখাস্তটা দাও দেখি।,True
104,02463eb3ce00,"আচ্ছা, আমি যাচ্ছি।",train,"আচ্ছা, আমি যাচ্ছি।",True
105,064f9ab9caa9,হয়তো বলতুম কিন্তু আজ তুমি এমন করে খেপে উঠলে কেন?,train,হয়তো বলতুম কিন্তু আজ তুমি এমন করে খেপে উঠলে কেন?,True
106,0c0210c5fef9,আমার শুধু ভালো লাগছে এই ভেবে যে সেই নতুন বন্ধুটা আমি না।,valid,আমার শুধু ভালো লাগছে এই ভেবে যে সেই নতুন বন্ধুটা আমি না।,True
107,04e4884eefd2,বৃষ্টির কারণে অনেকে কাজ শেষ হওয়ার পরও মেলা প্রাঙ্গণ ছেড়ে যেতে পারেননি।,train,বৃষ্টির কারণে অনেকে কাজ শেষ হওয়ার পরও মেলা প্রাঙ্গণ ছেড়ে যেতে পারেননি।,True
108,05426187fd2f,কারণ তার আসল শিকার ছিল পেছনে।,train,কারণ তার আসল শিকার ছিল পেছনে।,True
109,031cf3b5801f,বসু শ্রেষ্ঠ চিত্রনাট্য বিভাগে ফিল্মফেয়ার পুরস্কার বিভাগে মনোনয়ন পেয়েছিলেন।,valid,বসু শ্রেষ্ঠ চিত্রনাট্য বিভাগে ফিল্মফেয়ার পুরস্কার বিভাগে মনোনয়ন পেয়েছিলেন।,True
110,0475032f4acb,"তিনি ""অল ইন্ডিয়া মুসলিম পার্সোনাল ল বোর্ড""-এর প্রতিষ্ঠাতা সদস্য এবং জম্মু ও কাশ্মীরের ""মজলিসে ফিকহী""-এর সাধারণ সম্পাদক।",valid,"তিনি ""অল ইন্ডিয়া মুসলিম পার্সোনাল ল বোর্ড""-এর প্রতিষ্ঠাতা সদস্য এবং জম্মু ও কাশ্মীরের ""মজলিসে ফিকহী""-এর সাধারণ সম্পাদক।",True
111,0bb4862ad33c,"সেখানে পেলে-পুসকাসদের মতো মহারথীদের সঙ্গে অপূর্ব সহাবস্থান কামামোতো, চিতালুদের মতো অখ্যাতদের।",train,"সেখানে পেলে-পুসকাসদের মতো মহারথীদের সঙ্গে অপূর্ব সহাবস্থান কামামোতো, চিতালুদের মতো অখ্যাতদের।",True
112,047b15877c75,সেমিনারে মূল প্রবন্ধ পাঠ করেন ঢাকা বিশ্ববিদ্যালয়ের অর্থনীতি বিভাগের অধ্যাপক আবুল বারকাত।,train,সেমিনারে মূল প্রবন্ধ পাঠ করেন ঢাকা বিশ্ববিদ্যালয়ের অর্থনীতি বিভাগের অধ্যাপক আবুল বারকাত।,True
113,03b1d3bbe032,তাকে ধরা মাত্রই আমি নিজের কাজ শুরু করে দিলাম।,train,তাকে ধরা মাত্রই আমি নিজের কাজ শুরু করে দিলাম।,True
114,09437c7cf00b,তিনি এইচএসসি পাশ করেছেন।,valid,তিনি এইচএসসি পাশ করেছেন।,True
115,018550589847,প্রবাসী আয় বাড়ায় বৈদেশিক মুদ্রার রিজার্ভও বেড়েছে।,train,প্রবাসী আয় বাড়ায় বৈদেশিক মুদ্রার রিজার্ভও বেড়েছে।,True
116,089f9443ca6f,বাগেরহাটে একাত্তরে মানবতাবিরোধী অপরাধের একাধিক মামলায় এজাহারনামীয় চার ব্যক্তিকে গ্রেপ্তার করেছে পুলিশ।,train,বাগেরহাটে একাত্তরে মানবতাবিরোধী অপরাধের একাধিক মামলায় এজাহারনামীয় চার ব্যক্তিকে গ্রেপ্তার করেছে পুলিশ।,True
117,06c1540d9298,কী আছে জয়ার মনে?,train,কী আছে জয়ার মনে?,True
118,0a14b971e36c,"কার ঘরে যাব, তোর?",train,"কার ঘরে যাব, তোর?",True
